title,artist_name,release,year,tag,caption_writing
Waking Hour,Ark,Burn The Sun,0,"['dramatic' 'guitar virtuoso' 'heavy metal' 'difficult' 'complex'
 'ambitious' 'progressive rock' 'pop rock' 'progressive metal' 'hard rock'
 'power metal']","Get ready to embark on an ambitious and dramatic journey through the complex and difficult genres of progressive rock, heavy metal, power metal and progressive metal, where the guitar virtuoso takes center stage in this pop rock masterpiece that blends the best of hard rock sounds."
The Gauntlet,Dropkick Murphys,Punk-O-Rama 6,2001,['punk'],This high-energy song is filled with raw and rebellious punk vocals that will make you want to jump into a mosh pit.
She Drives Me Crazy,Ted Nugent,IF YOU CAN`T LICK EM,1988,['rock' 'classic rock' 'hard rock'],This song is a hard-hitting classic rock anthem that carries a heavy guitar riff and showcases the raw power of rock music.
Prelude In E Major,Neil Diamond,Play Me: The Complete Uni Studio Recordings...Plus!,1972,['classic rock'],"Experience the raw, nostalgic sound of classic rock in this electrifying new tune that pays homage to the era like never before."
God Is God,Juno Reactor,God Is God,1997,"['hanging out' 'trance' 'partying' 'celebratory' 'intense' 'club dance'
 'club' 'techno' 'rousing' 'electronic' 'stylish' 'energetic' 'clinical'
 'goa trance' 'hi nrg']","This electrifying techno track features a hi NRG beat and intense electronic rhythms, perfect for rousing club dance floors and celebratory partying, while also showcasing elements of goa trance and stylish clinical precision."
These Days,Kasey Chambers,Not Pretty Enough,2001,['alt country' 'country' 'pop rock'],This upbeat pop rock tune with a hint of alt country and country flair will have you tapping your feet and singing along in no time.
Shark Attack,Piebald,Accidental Gentleman,2007,"['emo' 'indie rock' 'alternative' 'tgif' 'alternative indie rock'
 'pop rock' 'strong' 'lively' 'indie']","Get your weekend started right with our lively alternative indie rock anthem blending pop rock and strong indie vibes, perfect for anyone seeking an alternative sound that combines the best elements of indie rock and emo music. From the driving guitars and catchy hooks to the anthemic choruses and powerful vocals, this track is the ultimate TGIF soundtrack for anyone looking to rock out and let loose!"
Wavin'  Flag,K'Naan,Troubadour,2009,['party' 'chillout'],"This song is the perfect mix of chillout and party vibes, with laid-back beats that will keep you grooving all night long."
Vuela Mas Alto,Onda Vaselina,Lo Mejor De OV7,0,['latin'],This upbeat and lively song is infused with irresistible latin rhythms that compel you to dance.
Lesson No. 2,Glenn Branca,The Ascension,1981,['experimental'],Experience the unconventional sounds of a genre-defying masterpiece with this experimental track that pushes boundaries and defies conventional music norms.
Song For Thandi,Vusi Mahlasela,Naledi Ya Tsela,0,['folk'],"This song has a comforting and rustic folk sound, transporting listeners to a peaceful countryside."
Forever (Live),Dropkick Murphys,Live On St. Patrick's Day,2002,['punk' 'punk rock' 'irish' 'alternative rock' 'metal'],This high-energy punk rock anthem blended with metal and alternative rock influences is infused with an unmistakable Irish soul.
Baitare,Ayo,Föder NåT Nytt,0,['chillout'],"Stay calm and relaxed with our newest track, a smooth and soothing chillout masterpiece."
For Oily To Normal Skin,KJ Sawka,Synchronized Decompression,2005,"['night driving' 'jungle' 'druggy' 'electronica' 'idm' 'hypnotic'
 'late night' 'techno' 'rambunctious' 'spacey' 'electronic' 'drums'
 'quirky' 'ambient techno' 'drum and bass' 'dance' 'nocturnal'
 'atmospheric' 'background music' 'trippy' 'detached' 'slick']","Get lost in the hypnotic and atmospheric sounds of this detached and trippy electronic track perfect for late night nocturnal drives, featuring slick and quirky drums and bass, spacey and idm inspired melodies, as well as rambunctious jungle beats that will make you dance all night long."
Come Live With Me,Ten Wheel Drive,Brief Replies,0,['progressive rock'],This dynamic new single features intricate instrumentation and a haunting vocal performance that perfectly captures the essence of progressive rock.
Worth It All,FFH,Voice From Home,2005,"['earnest' 'reflective' 'confident' 'alternative ccm' 'theatrical'
 'christian' 'religious' 'gospel' 'effervescent' 'reverent' 'spiritual'
 'ccm' 'gentle' 'calm peaceful' 'searching' 'contemporary christian'
 'poignant' 'refined' 'christian rock']","Experience an effervescent and theatrical blend of contemporary Christian and alternative CCM with this spiritually charged song that delivers a refined and peaceful message through its poignant, confident, and earnest lyrics; blending gentle gospel sounds with Christian rock vibes to create a reflective and reverent tune that will leave you feeling both searching and centered."
Gettin' Tighter,Glenn Hughes,Live In Australia,1995,['classic rock' 'hard rock'],This song is a classic rock anthem that blends the raw energy of hard rock with iconic guitar riffs and soaring vocals.
There Must Be,Poverty Stinks,Gargle Blaster,1990,"['power pop' 'alternative pop rock' 'pop' 'finnish'
 'alternative indie rock' 'pop rock' 'indie']","This Finnish band blends alternative indie rock, pop rock, and power pop to create their unique indie sound, which leans towards alternative pop rock with catchy pop hooks."
Pray For Me,Sierra,Story Of Life,0,['christian' 'religious' 'gospel' 'ccm' 'contemporary christian'],"This contemporary Christian song is a beautiful example of CCM that features powerful religious lyrics and uplifting gospel melodies, sure to touch the hearts and souls of any Christian listener."
The Way To My Heart,The Derailers,Genuine,0,"['earnest' 'honky tonk' 'reflective' 'partying' 'celebratory'
 'alternative country rock' 'amiable good natured' 'carefree' 'stylish'
 'alternative indie rock' 'fun' 'country' 'pop rock' 'country rock'
 'americana' 'traditional country' 'playful' 'freewheeling']","This lively tune offers a fun-packed and carefree celebration of the amiable good-natured Americana, splendidly mixing traditional country, pop rock, and alternative indie rock with a stylish country rock and freewheeling alternative country rock, resulting in a honky tonk vibe that is both reflective and earnest, yet still playful and partying in nature."
(We've Got) Honey Love,The Velvelettes,Motown Sings Motown Treasures,2004,"['female vocalist' 'oldies' 'pop' 'happy' 'dance' 'upbeat'
 'female vocalists' 'soul']",This classic pop tune boasts a soulful sound and upbeat rhythm that will have you dancing along while the female vocalists deliver a joyful performance that feels like an oldie but a goodie.
World Without End,Bodycode,The Conservation of Electric Charge,2006,['electronic'],Get ready to dance with this upbeat and infectious electronic anthem that combines pulsating rhythms with dreamy synths.
Wicked Saints,Impious,Hellucinate,2004,['death metal' 'pop rock'],"This song is a unique blend of pop rock and death metal, featuring catchy hooks and heavy riffs that will have you banging your head in no time."
Fixer le ciel,Dumas,Fixer le temps,2006,"['hanging out' 'mellow' 'reflective' 'french' 'sparkling' 'bright'
 'quebec' 'light' 'quebecois' 'wistful' 'lazy' 'restrained' 'sugary'
 'dreamy' 'introspection' 'bittersweet' 'alternative indie rock'
 'calm peaceful' 'searching' 'indie pop' 'international' 'pop rock'
 'poignant' 'intimate' 'western european traditions' 'soft quiet']","This international, alternative indie rock track from Quebecoise artists incorporates elements of pop rock, indie pop, and western European traditions to create a calm, peaceful atmosphere with poignant lyrics that search for meaning in introspection, evoking lazy days spent hanging out and looking inward. The soft, quiet vocals and restrained arrangements add a mellow, intimate touch, while the sparkling melodies and bright, sugary tones create a dreamy, wistful vibe that feels both light and bittersweet. Sung in French, this song is a reflective exploration of the human experience that captures the essence of modern indie rock while incorporating traditional elements of the Western European sound."
Complicated,Forty Deuce,Nothing To Lose,2005,"['cathartic' 'earnest' 'reflective' 'dramatic' 'guitar'
 'alternative pop rock' 'literate' 'angst ridden' 'bittersweet'
 'alternative indie rock' 'reflection' 'yearning' 'searching' 'pop rock'
 'poignant' 'hard rock']","This poignant and searching alternative indie rock ballad features elements of pop rock and alternative pop rock, showcasing the yearning and earnest vocals of the singer as well as the cathartic and dramatic guitar solos throughout the song, making it an angst ridden and literate reflection on life's bittersweet moments."
Small Apartment Party Epiphany,Make Believe,The Association Of Utopian Hologram Swallowers,0,['indie rock'],This new single is a raw and edgy indie rock anthem that will have you headbanging in no time.
Bridges,Destiny's Child,Destiny's Child,1998,"['sexual' 'confident' 'partying' 'celebratory' 'witty' 'theatrical'
 'club dance' 'girls night out' 'sexy' 'rnb' 'amiable good natured'
 'carefree' 'contemporary rnb' 'sentimental' 'sophisticated' 'electronic'
 'dance pop' 'stylish' 'sensual' 'urban' 'energetic' 'tgif' 'fun'
 'teen pop' 'pop rock' 'summery' 'playful' 'freewheeling']","Get ready to hit the club with your girls and let loose with this energetic, contemporary R&B and pop rock anthem that will have you feeling confident, carefree, and sexy, while witty lyrics add a touch of sophistication to the freewheeling, celebratory dance pop beat that's perfect for a fun-filled TGIF night out - with a touch of sensual electronic elements and theatrical flair, this summery club banger is the ultimate good-natured party starter for amiable guys and gals alike, whether you're looking for a sentimental love song or just want to let loose and have a good time on the dance floor!"
The Devil's Reflection,Soul Embraced,Dead Alive,2008,"['death metal' 'christian' 'metalcore' 'heavy metal' 'alternative metal'
 'christian metal' 'metal' 'pop rock']","This song is a unique blend of alternative metal, pop rock, heavy metal, death metal, metalcore, and christian metal, making it a truly diverse homage to the metal scene while infusing religious themes into the mix."
Halling,Ulver,Kveldssanger,1996,"['gloomy' 'neo classical metal' 'beautiful' 'symphonic black metal'
 'theatrical' 'relaxing' 'heavy metal' 'hypnotic' 'late night'
 'scandinavian metal' 'experimental' 'rainy day' 'folk rock' 'acoustic'
 'pop rock' 'nocturnal' 'atmospheric' 'ambient' 'solitude' 'folk'
 'enigmatic' 'black metal']","This enigmatic song draws on a diverse range of influences, blending elements of symphonic black metal, Scandinavian metal, and folk rock to create a hypnotic, atmospheric, and beautiful soundscape that is both relaxing and heavy. With its melancholy lyrics and haunting melodies, it is the perfect accompaniment to a rainy day or a late night spent in solitude, with acoustic and ambient passages that add a theatrical touch to its neo classical metal sound. Whether you're a fan of pop rock, heavy metal, or experimental music, this song is sure to captivate and inspire with its uniquely gloomy and nocturnal vibe."
Time To Die,Jon Oliva's Pain,Straight-Jacket Memoirs,2006,"['cathartic' 'provocative' 'confident' 'aggressive' 'coolncocky' 'rowdy'
 'confrontational' 'heavy metal' 'brash' 'hair metal' 'rousing'
 'pop metal' 'energetic' 'fiery' 'rebellious' 'pop rock' 'harsh'
 'volatile']","This pop metal track is an aggressive and confrontational anthem that's both energy and rowdy, with a heavy metal edge that's brash and rebellious, while still confident and coolncoky, delivering cathartic and provocative themes that are sure to ignite a volatile and fiery response from the crowd - a truly rousing hair metal experience."
